t,"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:53:09-22345)",t.loRaGW[1],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[1].packetForwarder($0=""avg"", #0 - General-0-20210629-13:53:09-22345)",t.loRaGW[2],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[2].packetForwarder($0=""avg"", #0 - General-0-20210629-13:53:09-22345)",t.loRaGW[3],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[3].packetForwarder($0=""avg"", #0 - General-0-20210629-13:53:09-22345)",t.loRaGW[4],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[4].packetForwarder($0=""avg"", #0 - General-0-20210629-13:53:09-22345)","SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:53:09-22345)","TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:53:09-22345)","X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:53:09-22345)","Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:53:09-22345)","Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-13:53:09-22345)"
96884.1397980164,31.0,,-1000.0,96884.6333662185,-129.16046424154,,-1000.0,,-1000.0,10.0,2.0,267.79654974452,329.7379802721,1.8835832886388
97532.22150471013,34.0,,-1000.0,97532.71507291858,-129.43984329759,,-1000.0,,-1000.0,10.0,2.0,291.36087188203,346.45563322802,1.7624136234821
98049.21809570116,36.0,98049.71166392809,-130.20736926332,,-1000.0,,-1000.0,,-1000.0,10.0,2.0,391.09286729255,251.83078892031,1.5318063520052
98690.30068954975,39.0,,-1000.0,,-1000.0,98690.79425776676,-129.80299907042,,-1000.0,10.0,2.0,194.45606199586,254.315929092,1.8109038193989
100649.43689579252,41.0,,-1000.0,,-1000.0,100649.93046404516,-131.17633251736,,-1000.0,10.0,2.0,132.58192948494,190.24260093067,1.5101854895701
100756.70138804188,42.0,,-1000.0,100757.19495629716,-131.2714238771,,-1000.0,,-1000.0,10.0,2.0,239.59925293813,322.91198768338,1.7144145110668
102164.03528300097,43.0,,-1000.0,102164.5288512556,-131.2485127216,,-1000.0,,-1000.0,10.0,2.0,239.38197887816,320.66531009585,1.5965938892999
102222.54756214212,44.0,,-1000.0,,-1000.0,,-1000.0,102223.04113042928,-132.33409172955,10.0,2.0,203.2451563862,376.85076144543,1.5001434063512
102516.01694990964,45.0,,-1000.0,102516.51051810848,-129.0138801906,,-1000.0,,-1000.0,10.0,2.0,330.88322701993,301.42826470009,1.3981752478063
104314.80678603236,48.0,,-1000.0,,-1000.0,104315.30035432172,-132.4036894369,,-1000.0,10.0,2.0,251.53992657355,180.29312869109,1.2517137739738
105275.18065418849,49.0,,-1000.0,,-1000.0,,-1000.0,105275.67422243729,-131.03863418295,10.0,2.0,90.598283948904,427.54738046381,1.5900026002428
107823.5179289719,52.0,,-1000.0,,-1000.0,107824.01149720562,-130.47386533466,,-1000.0,10.0,2.0,211.84398293535,167.4891819608,1.3741159806624
108383.01316060765,55.0,,-1000.0,,-1000.0,,-1000.0,108383.50672891292,-132.88717371844,10.0,2.0,183.08504301941,351.80885811865,1.158300090341
108542.07894777512,56.0,,-1000.0,,-1000.0,108542.57251594162,-127.40987195631,,-1000.0,10.0,2.0,176.90058980598,217.65109449718,1.4977357552895
109848.32232435296,59.0,,-1000.0,109848.81589252234,-127.5647462826,,-1000.0,,-1000.0,10.0,2.0,297.58831299775,291.03652097755,1.84208875498
111390.80023185798,61.0,,-1000.0,,-1000.0,111391.29380008146,-130.06936801753,,-1000.0,10.0,2.0,231.31909664484,199.83436735532,1.2448553343729
114455.57177880291,66.0,,-1000.0,114456.06534703705,-130.48902832554,,-1000.0,,-1000.0,10.0,2.0,272.7250779882,262.89402471085,1.1198831385818
115076.00958953289,68.0,,-1000.0,115076.50315777207,-130.68303637124,,-1000.0,,-1000.0,10.0,2.0,349.85426450879,309.050015679,1.7529183563594
120779.502659723,78.0,,-1000.0,,-1000.0,120779.99622793272,-129.49495785686,,-1000.0,10.0,2.0,147.15741305319,209.02223142297,1.2672394914731
120938.53054770645,79.0,,-1000.0,,-1000.0,,-1000.0,120939.02411593232,-130.16546378943,10.0,2.0,131.16039129777,376.09745115809,1.088699359454
121137.7085974162,80.0,,-1000.0,121138.20216572024,-132.84947599376,121138.20216569936,-132.20727141015,,-1000.0,10.0,2.0,244.69775342527,250.15970809965,1.5751366339848
122368.44626572104,81.0,122368.93983398896,-131.70765172049,,-1000.0,,-1000.0,,-1000.0,10.0,2.0,447.16949939608,161.4157673172,1.9132033000246
125693.06280345528,87.0,,-1000.0,,-1000.0,125693.55637166084,-129.31420584995,,-1000.0,10.0,2.0,157.87100021046,187.07823719465,1.2790749450501
126964.69766208112,89.0,,-1000.0,126965.19123037808,-132.63756067819,,-1000.0,,-1000.0,10.0,2.0,321.14492048956,236.56909747307,1.4256495310313
127206.23340076015,90.0,,-1000.0,,-1000.0,127206.72696896156,-129.13066774279,,-1000.0,10.0,2.0,156.90155506758,190.57243695529,1.8083943489385
128343.42224397387,92.0,,-1000.0,,-1000.0,128343.9158121822,-129.43507529648,,-1000.0,10.0,2.0,218.62012622943,234.0986483839,1.327860727171
129515.1048314914,93.0,129515.5983997716,-132.11188960991,,-1000.0,,-1000.0,,-1000.0,10.0,2.0,361.470555938,148.03001566597,1.42748938226
132776.0099903584,97.0,132776.50355863944,-132.13932219823,,-1000.0,,-1000.0,,-1000.0,10.0,2.0,374.4833562897,140.47867428434,1.9043979812639
134394.53920625665,102.0,,-1000.0,,-1000.0,,-1000.0,134395.03277449516,-130.65801169476,10.0,2.0,180.73818772806,380.13310399874,1.4224425123197
135327.27241406715,104.0,,-1000.0,,-1000.0,135327.76598232807,-131.46802579585,,-1000.0,10.0,2.0,140.71054499242,251.89469431597,1.5874346645658
136247.89044491923,105.0,,-1000.0,,-1000.0,,-1000.0,136248.38401311493,-128.86913758654,10.0,2.0,115.37926640575,411.46180211398,1.2833063921823
137300.43092315845,107.0,,-1000.0,,-1000.0,137300.92449139856,-130.71791571523,,-1000.0,10.0,2.0,212.16071434143,257.97946778582,1.4230710473593
138089.66235139387,109.0,,-1000.0,,-1000.0,138090.1559196648,-131.80862649128,,-1000.0,10.0,2.0,165.07407178078,150.09512497951,1.2160351904502
138296.587003235,110.0,,-1000.0,,-1000.0,138297.08057145862,-130.07517882572,,-1000.0,10.0,2.0,232.45596076874,218.97299299324,1.4967100176678
139821.0347456441,112.0,,-1000.0,,-1000.0,,-1000.0,139821.5283139387,-132.56508797594,10.0,2.0,220.35742583753,421.53743103707,1.0355902399355
139991.379860081,114.0,,-1000.0,,-1000.0,139991.87342834027,-131.41090535496,,-1000.0,10.0,2.0,129.8266182715,232.59031118642,1.6279495616008
140904.47913801568,117.0,140904.97270626808,-131.16886269787,,-1000.0,,-1000.0,,-1000.0,10.0,2.0,404.42882551728,147.31890678134,1.1059427440208
141249.0146324158,118.0,,-1000.0,141249.50820062243,-129.36198868037,,-1000.0,,-1000.0,10.0,2.0,260.43228411202,293.93921067481,1.635255927025
142132.00783510707,120.0,,-1000.0,142132.50140327297,-127.37702228812,,-1000.0,,-1000.0,10.0,2.0,287.11829151683,306.01575715523,1.2405130184566
143150.25489042982,122.0,,-1000.0,,-1000.0,,-1000.0,143150.74845870092,-131.81413787935,10.0,2.0,209.11162406643,440.54264562498,1.8571552545012
144068.4885303674,124.0,,-1000.0,,-1000.0,144068.98209859777,-130.34334601928,,-1000.0,10.0,2.0,234.90983106081,200.71197630207,1.578651918812
144477.8889211501,125.0,,-1000.0,144478.38248934783,-128.96516333091,,-1000.0,,-1000.0,10.0,2.0,284.24562245498,275.41208808891,1.5040059276226
144759.99526238817,126.0,,-1000.0,,-1000.0,144760.48883057,-128.20724627739,,-1000.0,10.0,2.0,183.97019668591,186.64734138768,1.4521706143739
146365.17340731475,129.0,146365.66697556668,-131.15184497679,,-1000.0,,-1000.0,,-1000.0,10.0,2.0,348.07738415598,178.54953502848,1.5997001659406
149136.70653610418,133.0,,-1000.0,,-1000.0,,-1000.0,149137.2001043167,-129.61482876918,10.0,2.0,120.67731488265,452.36028393859,1.6266441181638
154730.54805637404,140.0,,-1000.0,,-1000.0,154731.0416246156,-130.77302754925,,-1000.0,10.0,2.0,135.68917457321,227.7573423554,1.4147445283587
155725.43087402405,141.0,,-1000.0,,-1000.0,155725.9244422693,-130.90860036868,,-1000.0,10.0,2.0,138.61480632073,183.67475548985,1.8385737106036
156031.4885442478,142.0,,-1000.0,,-1000.0,156031.9821124749,-130.21593534778,,-1000.0,10.0,2.0,218.2798736276,175.15640107404,1.6133451991937
157254.62258820073,144.0,,-1000.0,,-1000.0,157255.1161564148,-129.6799518134,,-1000.0,10.0,2.0,214.7838824038,179.99098357391,1.4593481020231
157875.15014194342,145.0,,-1000.0,157875.64371020967,-131.65162652009,,-1000.0,,-1000.0,10.0,2.0,347.92313195944,269.93195590731,1.2132392984483
159157.14089536792,146.0,,-1000.0,,-1000.0,,-1000.0,159157.6344636534,-132.28094015627,10.0,2.0,155.04141055054,350.11870679173,1.5825774955717
161229.10555547464,149.0,161229.59912370212,-130.22880664203,,-1000.0,,-1000.0,,-1000.0,10.0,2.0,383.08410261904,160.35004201827,1.1139653010917
161862.07858954638,150.0,,-1000.0,,-1000.0,161862.57215778518,-130.66823352682,,-1000.0,10.0,2.0,165.5071536647,163.22071480963,1.4141569067008
161942.49044395695,151.0,,-1000.0,161942.98401220655,-131.06808905227,,-1000.0,,-1000.0,10.0,2.0,341.90693761648,271.82397775591,1.7979002433462
162263.0702641413,152.0,,-1000.0,162263.56383241995,-132.06198672346,,-1000.0,,-1000.0,10.0,2.0,238.98027400037,271.10041429605,1.692651595358
162360.47992001608,153.0,,-1000.0,162360.97348823724,-129.97485607693,,-1000.0,,-1000.0,10.0,2.0,252.79218913707,295.20181990784,1.8967464923365
162474.92184691492,154.0,,-1000.0,,-1000.0,162475.41541509805,-128.27072774572,,-1000.0,10.0,2.0,176.91118890196,235.20172639339,1.5803549679525
164091.5402705064,160.0,164092.0338387805,-131.91421610588,,-1000.0,,-1000.0,,-1000.0,10.0,2.0,355.53244071933,155.09513252356,1.8247460024564
165316.50297557755,161.0,,-1000.0,,-1000.0,165316.99654380188,-130.10329009932,,-1000.0,10.0,2.0,233.33891882825,216.03330313621,1.6700645455807
166788.58033989256,166.0,166789.07390817796,-132.27850125466,,-1000.0,,-1000.0,,-1000.0,10.0,2.0,354.70564103712,150.4787174192,1.6951641144508
168958.31991521755,167.0,,-1000.0,,-1000.0,168958.81348348127,-131.56571990415,,-1000.0,10.0,2.0,245.09323998879,189.05464822756,1.4072222088492
169487.88293985144,169.0,,-1000.0,,-1000.0,169488.37650807487,-130.06750483594,,-1000.0,10.0,2.0,212.49460722789,172.75438371163,1.5996423668783
169858.175622185,170.0,,-1000.0,,-1000.0,,-1000.0,169858.669190386,-129.11106311273,10.0,2.0,150.3995875962,455.99384655675,1.6457051306366
170787.93597767825,171.0,,-1000.0,,-1000.0,170788.42954594656,-131.72062780501,,-1000.0,10.0,2.0,249.91260232195,198.92747402215,1.6674702667602
171832.18369156917,176.0,,-1000.0,,-1000.0,171832.67725979333,-130.09619873346,,-1000.0,10.0,2.0,227.23424967809,234.20126257959,1.4508834204673
