t,"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[0],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[0].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[1],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[1].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[2],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[2].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[3],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[3].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[4],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[4].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)"
97196.68532873328,18.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3481.4033432201,2432.1292381989,1.1680126146385
97800.09983937832,19.0,97800.59340783166,-124.45878055234,97800.59340846102,-132.3228899954,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3920.1442597964,2872.5221374693,1.1570850051188
98881.60643890603,20.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2847.0710610213,2200.6332289605,1.2124556589257
99705.22444042284,21.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1595.3917299688,1530.4324219782,1.2832874557246
99993.57891797047,22.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1291.425432176,1821.0493080777,1.3282619864697
100623.02692054666,23.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,627.89844059479,2455.4359145412,1.4264367357751
101025.15716945632,24.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,417.44282979849,2892.4085653401,1.4971177607812
101186.24235286687,25.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,567.93127428949,3102.3071958807,1.5341882267823
101386.81002764644,26.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,755.30491569895,3363.6526491097,1.5803447820373
101644.85239049252,27.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,996.37236197373,3699.8892751983,1.6397279632598
101698.89354413348,28.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1046.8585021497,3770.306453873,1.6521644313837
102432.9360005498,29.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1732.6131141988,4726.7849027175,1.8210893153975
103989.83808147704,30.0,,-1000.0,,-1000.0,,-1000.0,103990.33165021605,-128.87275406383,,-1000.0,10.0,14.0,2935.3427695392,2888.3945355446,1.4966031679511
104442.49325236976,31.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3284.4772413831,2345.4773806027,1.4007747967251
104668.16188569355,32.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3458.5362252931,2074.8091540094,1.3530001131275
